# 181 entries matching 'jackie' in docs/mounring_scenes/localization_base/localization/en-us/onscreens/onscreens.json.json

Gameplay-Clothing-InnerChest-LocalizedDescription-Q001TShirt	15816	Bought shortly after the first job with Jackie.
Gameplay-Consumables-Alcohols-DisplayName-TopQualityAlcohol9	78854	The Jackie Welles
Gameplay-NPC-EthnicNames-Caribbean-Female-Names-Jackie	71879	Jackie
Gameplay-Weapons-Ranged-LocalizedDescription-Preset_Nue_Jackie	40558	Jackie's pistol. A beautiful marriage of Japanese technology and Valentino style.
Story-base-gameplay-gui-widgets-notifications-quest_update-_localizationString1	27634	Hotel room booked for V and Jackie
Story-base-gameplay-gui-widgets-notifications-quest_update-_localizationString4	33930	Hotel room booked for V and Jackie
Story-base-gameplay-static_data-database-characters-npcs-records-quest-main_characters-secondarycharacters-Jackie_displayName	34477	Jackie
Story-base-gameplay-static_data-database-characters-npcs-records-quest-main_characters-secondarycharacters-Jackie_fullDisplayName	34478	Jackie Welles
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackie_machete_displayName	35720	Jackie's Machete
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_belt_localizedDescription	35718	Age-worn. It used to belong to Jackie's father.
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_bottle_localizedDescription	35716	Homemade. Jackie's go-to liquor.
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_key_bike_displayName	35705	Key to Jackie's Bike
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_key_room_displayName	35707	Key to Jackie's Room
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_key_storage_displayName	35709	Key to Jackie's Stash
Story-base-gameplay-static_data-database-items-quest-quest_items-sq018_jackies_key_storage_localizedDescription	35710	Opens the storage container where Jackie keeps some odds and ends.
Story-base-gameplay-static_data-database-scanning-main_quests-q001-q001_jackie_car_owner_localizedDescription	25722	Jackie Welles
Story-base-gameplay-static_data-database-scanning-main_quests-q001-q001_victor_vector_localizedDescription	25730	Best ripperdoc in Watson, Night City veteran, old friend to Jackie Welles
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_beer_bottles_localizedDescription	28625	Jackie's favorite beer
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_belt_localizedDescription	28627	A hand-me-down from Jackie's father
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_book_localizedName	28628	Jackie's Book
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_jackies_key_bike_localizedDescription	28642	To Jackie's motorcycle
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_jackies_mandala_localizedDescription	28637	A Jackie original design
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_jackies_urn_localizedDescription	28639	Contains Jackie's ashes
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_keycard_door_localizedDescription	28646	Opens Jackie's room
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_keycard_storage_localizedDescription	28650	Opens Jackie's garage
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_photo_jackie_localizedName	28664	Still of Jackie
Story-base-gameplay-static_data-database-scanning-side_quests-sq018-sq018_photo_mama_welles_localizedDescription	28670	Jackie looks about 10 here
Story-base-journal-contacts-panam-Q114_rom_02_ch_02_lost_text	78580	You already know the rest – the heist went tits up, biochip ended up in my head... Lost my best friend Jackie along with the rest of the crew. Would've met the same fate if the Relic hadn't "resurrected" me. 'Course, nothing's for free. Coming back from the dead came with the ticking time bomb named Johnny Silverhand. That's the universe's sick sense of humor for ya...
Story-base-journal-contacts-panam-Q114_rom_06_jackie_text	78586	Jackie... Who was he? What was he like?
